Sale Price (USD),Grade,#Bids,Date Sold,Listing Id,Title,ID Number,URL
$15.99,Raw,No Auction,2024-05-22,'126468708524,Grimer Reverse Holo Aquapolis 79/147 Pokémon Card,36321,https://www.pokedata.io/card/Aquapolis/Grimer+Reverse+Holo+79
$15.99,Raw,No Auction,2024-05-16,'126468707586,Grimer Reverse Holo Aquapolis 79/147 Pokémon Card,36321,https://www.pokedata.io/card/Aquapolis/Grimer+Reverse+Holo+79
$9.02,Raw,No Auction,2024-03-02,'314994792951,Grimer Reverse Holo Aquapolis 79/147 Pokémon Card MP,36321,https://www.pokedata.io/card/Aquapolis/Grimer+Reverse+Holo+79
$2.05,Raw,No Auction,2024-02-08,'386746049440,Pokemon - Grimer 79/147 - Aquapolis - Reverse Holo ITA,36321,https://www.pokedata.io/card/Aquapolis/Grimer+Reverse+Holo+79
$8.95,Raw,No Auction,2024-07-04,'163791878842,GRIMER - 79/147 - Aquapolis - Common - Pokemon Card - NM,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$0.99,Raw,1,2024-07-01,'355819037256,Pokemon Common Card - Grimer 79/147 (Aquapolis),5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$7.99,Raw,No Auction,2024-06-28,'266721619965,Pokémon Grimer 79/147 Aquapolis WOTC TCG Pokemon Common Card NM-MT,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$3.00,Raw,No Auction,2024-06-23,'266766988570,Grimer #079/147 Aquapolis Pokemon Near Mint or Better,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$3.20,Raw,1,2024-06-21,'335443713493,Pokemon Common Card - Grimer 79/147 (Aquapolis),5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$2.56,Raw,No Auction,2024-06-10,'387015934338,Grimer - 79/147 - Common - Aquapolis Pokemon - NM Near Mint Non Holo 3,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$3.00,Raw,No Auction,2024-06-07,'313968303797,Pokemon E Series Aquapolis Grimer non Holo 79/147,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$3.00,Raw,No Auction,2024-06-06,'266766988589,Grimer #079/147 Aquapolis Pokemon Near Mint or Better,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$37.73,10,22,2024-06-05,'116198073939,Pokemon Card PSA 10 Gem Mint Grimer Aquapolis 2003 Non Holo 79/147,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$3.99,Raw,No Auction,2024-05-29,'364806251781,Pokemon x1 Grimer - Aquapolis (Common 79/147) (Near Mint!),5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$0.01,Raw,1,2024-05-27,'395417760828,Pokémon TCG Grimer Aquapolis 79/147 Regular Common,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$4.73,Raw,No Auction,2024-05-13,'375388840090,Pokemon Card Grimer 79/147 Aquapolis WOTC Nr Mint Card Others Available,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$2.25,Raw,2,2024-05-12,'156177137676,Pokémon TCG Grimer Aquapolis 79/147 Non-holo,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$3.10,Raw,3,2024-05-07,'266791437516,Grimer 79/147 e-Series Aquapolis 2002 Near Mint NM Vintage Pokemon Card,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$2.00,Raw,No Auction,2024-05-06,'266766988577,Grimer #079/147 Aquapolis Pokemon Near Mint or Better,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$6.24,Raw,No Auction,2024-05-05,'176157144548,Grimer 79/147 - Aquapolis Pokemon Card NM,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$2.50,Raw,No Auction,2024-05-04,'395379313323,Grimer Aquapolis Pokemon TCG Common E-Reader Card #79/147,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$1.24,Raw,1,2024-04-05,'386893649550,Grimer - 79/147 - Common - Aquapolis Pokemon - NM Near Mint Non Holo 2,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$2.39,Raw,No Auction,2024-03-31,'375271640724,Grimer 79/147 Pokémon Aquapolis 2002 Non-Holo NM,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$2.49,Raw,No Auction,2024-03-28,'315250464218,"2002 Pokemon, Aquapolis, #79/147 Grimer, Common",5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$1.99,Raw,No Auction,2024-03-12,'386848997502,Pokémon TCG Grimer Aquapolis 79/147,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$2.69,Raw,1,2024-03-11,'296270684508,Grimer 79/147 NM Pokemon Card Aquapolis 2002 Grass Common,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$2.99,Raw,No Auction,2024-03-10,'315105472798,Grimer 79/147 Aquapolis Pokemon Card LP,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$2.49,Raw,No Auction,2024-03-08,'166297878969,Pokémon TCG Grimer Aquapolis 79/147 Regular Common - Uncrirculated,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$4.07,Raw,No Auction,2024-03-07,'355363984017,Pokémon Grimer 79/144 AQ Aquapolis NM,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$3.33,Raw,No Auction,2024-03-06,'386306319525,Pokemon - Grimer 79/147 - Aquapolis - Non Holo - NM,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$3.24,Raw,No Auction,2024-03-04,'126294306010,Pokemon Card TCG Grimer 79/147 Aquapolis no Holo WOTC 2002 EX English,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$0.99,Raw,1,2024-02-26,'276347196678,Pokemon Card Grimer Aquapolis 79/147 EXCELLENT Non-Holo Common TCG!!!!!!!!!!!!!!,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$3.99,Raw,No Auction,2024-02-19,'355385642340,Pokémon Card - Grimer - 79/147 - NM - Aquapolis,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$2.53,Raw,1,2024-02-17,'256407262141,Grimer - 79/147 - Common - Aquapolis Pokemon - NM/LP,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$1.99,Raw,No Auction,2024-02-04,'395109504446,Pokémon TCG Grimer Aquapolis 79/147 Regular,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$1.90,Raw,No Auction,2024-02-04,'386225382328,Grimer 79/147 - Aquapolis - Regular Common Pokemon TCG Card - LP,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
$3.50,Raw,No Auction,2024-01-27,'145494799619,Pokemon TCG Grimer 79/147 | Non Holo | Aquapolis | Common | WOTC | NM,5268,https://www.pokedata.io/card/Aquapolis/Grimer+79
